tm     Tsp    T1     Q1    
 237.0  58.00  57.05  61.56 
 238.1  58.00  57.05  61.64 
 239.1  58.00  57.05  61.71 
 240.0  58.00  57.37  61.66 
 241.0  58.00  57.05  61.73 
 242.0  58.00  57.05  61.81 
 243.1  58.00  57.37  61.75 
 244.0  58.00  57.05  61.83 
 245.1  58.00  57.37  61.77 
 246.1  58.00  57.37  61.71 
 247.0  58.00  57.37  61.65 
 248.1  58.00  57.37  61.58 
 249.1  58.00  57.37  61.52 
 250.1  58.00  57.37  61.45 
 251.1  58.00  57.37  61.38 
 252.1  58.00  57.37  61.31 
 253.1  58.00  57.37  61.24 
 254.1  58.00  57.37  61.17 
 255.1  58.00  57.37  61.23 
 256.0  58.00  57.37  61.15 
 257.0  58.00  57.37  61.07 
 258.1  58.00  57.37  61.13 
 259.1  58.00  57.37  61.05 
 260.1  58.00  57.37  61.10 
 261.1  58.00  57.37  61.15 
 262.1  58.00  57.37  61.20 
 263.1  58.00  57.37  61.25 
 264.1  58.00  57.37  61.30 
 265.1  58.00  57.37  61.35 
 266.1  58.00  57.37  61.40 
 267.1  58.00  57.37  61.45 
 268.1  58.00  57.37  61.50 
 269.0  58.00  57.37  61.55 
 270.1  58.00  57.37  61.60 
 271.1  58.00  57.37  61.65 
 272.1  58.00  57.37  61.70 
 273.0  58.00  57.37  61.75 
 274.0  58.00  57.37  61.80 
 275.1  58.00  57.37  61.85 
 276.0  58.00  57.37  61.90 
 277.0  58.00  57.37  61.96 
 278.1  58.00  57.37  62.01 
 279.1  58.00  57.37  62.06 
 280.0  58.00  57.37  62.11 
 281.0  58.00  57.37  62.16 
 282.0  58.00  57.37  62.21 
 283.1  58.00  57.37  62.26 
 284.0  58.00  57.37  62.31 
 285.1  58.00  57.37  62.36 
 286.1  58.00  57.37  62.41 
 287.0  58.00  57.37  62.46 
 288.1  58.00  57.37  62.51 
 289.1  58.00  57.37  62.56 
 290.1  58.00  57.37  62.61 
 291.1  58.00  57.37  62.66 
 292.1  58.00  57.37  62.71 
 293.1  58.00  57.37  62.76 
 294.1  58.00  57.37  62.81 
 295.0  58.00  57.69  62.73 
 296.0  58.00  57.37  62.78 
 297.1  58.00  57.69  62.70 
 298.0  58.00  57.37  62.75 
 299.0  58.00  57.69  62.66 
 300.0  58.00  57.37  62.71 
 301.1  58.00  57.37  62.75 
 302.1  58.00  57.69  62.67 
 303.1  58.00  57.37  62.71 
 304.0  58.00  57.69  62.62 
 305.0  58.00  57.37  62.67 
 306.1  58.00  57.37  62.71 
 307.1  58.00  57.69  62.62 
 308.1  58.00  57.69  62.53 
 309.1  58.00  57.69  62.44 
 310.1  58.00  57.69  62.47 
 311.0  58.00  57.69  62.38 
 312.0  58.00  57.69  62.41 
 313.1  58.00  57.37  62.45 
 314.0  58.00  57.69  62.48 
 315.0  58.00  57.69  62.39 
 316.0  58.00  57.69  62.29 
 317.0  58.00  57.69  62.32 
 318.0  58.00  57.37  62.35 
 319.1  58.00  57.69  62.39 
 320.1  58.00  57.69  62.29 
 321.1  58.00  57.69  62.19 
 322.0  58.00  57.69  62.21 
 323.0  58.00  57.69  62.24 
 324.0  58.00  57.69  62.27 
 325.0  58.00  57.69  62.30 
 326.0  58.00  57.69  62.33 
 327.1  58.00  57.69  62.35 
 328.0  58.00  57.69  62.25 
 329.0  58.00  57.69  62.28 
 330.0  58.00  57.69  62.31 
 331.0  58.00  57.69  62.33 
 332.1  58.00  57.69  62.36 
