tm     Tsp    T1     Q1    
 308.0  63.00  62.53  70.63  68.11
 309.0  63.00  62.53  70.68  68.09
 310.0  63.00  62.53  70.60  68.01
 311.0  63.00  62.53  70.52  67.93
 312.0  63.00  62.53  70.43  67.86
 313.0  63.00  62.53  70.35  67.79
 314.0  63.00  62.53  70.39  67.77
 315.0  63.00  62.53  70.30  67.70
 316.0  63.00  62.53  70.21  67.63
 317.0  63.00  62.53  70.25  67.63
 318.0  63.00  62.53  70.16  67.57
 320.0  63.00  62.53  70.20  67.57
 321.0  63.00  62.53  70.24  67.57
 322.0  63.00  62.53  70.28  67.57
 323.0  63.00  62.53  70.31  67.57
 324.0  63.00  62.53  70.35  67.57
 325.0  63.00  62.53  70.39  67.57
 326.0  63.00  62.53  70.43  67.57
 327.0  63.00  62.53  70.47  67.57
 328.0  63.00  62.53  70.50  67.57
 329.0  63.00  62.53  70.54  67.57
 330.0  63.00  62.53  70.58  67.57
 331.0  63.00  62.53  70.62  67.57
 332.0  63.00  62.53  70.66  67.57
 333.0  63.00  62.53  70.69  67.57
 334.0  63.00  62.53  70.73  67.57
 335.0  63.00  62.53  70.77  67.57
 336.0  63.00  62.53  70.81  67.57
 337.0  63.00  62.53  70.85  67.57
 338.0  63.00  62.53  70.88  67.57
 339.0  63.00  62.53  70.92  67.57
 340.0  63.00  62.53  70.96  67.57
 341.0  63.00  62.53  71.00  67.57
 342.0  63.00  62.53  71.04  67.57
 343.0  63.00  62.53  71.07  67.57
 344.0  63.00  62.53  71.11  67.57
 345.0  63.00  62.53  71.15  67.57
 346.0  63.00  62.53  71.19  67.57
 347.0  63.00  62.53  71.22  67.57
 348.0  63.00  62.53  71.26  67.57
 349.0  63.00  62.53  71.30  67.57
 350.0  63.00  62.53  71.34  67.57
 351.0  63.00  62.53  71.38  67.57
 352.0  63.00  62.53  71.41  67.57
 353.0  63.00  62.53  71.45  67.57
 354.0  63.00  62.53  71.49  67.57
 355.0  63.00  62.53  71.53  67.57
 356.0  63.00  62.53  71.57  67.57
 357.0  63.00  62.85  71.47  67.52
 358.0  63.00  62.53  71.51  67.49
 359.0  63.00  62.53  71.55  67.48
 360.0  63.00  62.85  71.45  67.43
 361.0  63.00  62.53  71.49  67.41
 362.0  63.00  62.53  71.52  67.40
 363.0  63.00  62.85  71.42  67.35
 364.0  63.00  62.85  71.33  67.28
 365.0  63.00  62.85  71.23  67.20
 366.0  63.00  62.85  71.12  67.11
 367.0  63.00  62.53  71.15  67.07
 368.0  63.00  62.85  71.05  67.02
 369.0  63.00  62.85  70.94  66.95
 370.0  63.00  62.85  70.84  66.87
 371.0  63.00  62.85  70.73  66.80
 372.0  63.00  62.85  70.75  66.78
 373.0  63.00  62.85  70.64  66.71
 374.0  63.00  62.85  70.53  66.63
 375.0  63.00  62.85  70.55  66.62
