tm     Tsp    T1     Q1    
 154.1  68.00  52.21 100.00 
 155.0  68.00  52.21 100.00 
 156.1  68.00  52.53 100.00 
 157.0  68.00  52.86 100.00 
 158.1  68.00  52.86 100.00 
 159.1  68.00  53.18 100.00 
 160.0  68.00  53.18 100.00 
 161.1  68.00  53.50 100.00 
 162.0  68.00  53.50  99.49 
 163.1  68.00  53.82  99.57 
 164.0  68.00  54.15  99.51 
 165.0  68.00  54.15  99.56 
 166.1  68.00  54.47  99.59 
 167.0  68.00  54.47  99.61 
 168.0  68.00  54.79  99.61 
 169.1  68.00  55.11  99.60 
 170.1  68.00  55.11  99.57 
 171.1  68.00  55.44  99.53 
 172.0  68.00  55.44  99.60 
 173.1  68.00  55.76  99.53 
 174.0  68.00  56.08  99.44 
 175.1  68.00  56.08  99.34 
 176.0  68.00  56.40  99.22 
 177.1  68.00  56.40  99.08 
 178.0  68.00  56.72  98.93 
 179.0  68.00  56.72  98.90 
 180.1  68.00  57.05  98.72 
 181.0  68.00  57.05  98.65 
 182.1  68.00  57.37  98.45 
 183.0  68.00  57.37  98.35 
 184.1  68.00  57.69  98.24 
 185.0  68.00  57.69  98.12 
 186.1  68.00  58.01  97.99 
 187.0  68.00  58.01  97.84 
 188.0  68.00  58.34  97.68 
 189.1  68.00  58.34  97.63 
 190.0  68.00  58.66  97.45 
 191.1  68.00  58.66  97.38 
 192.1  68.00  58.98  97.16 
 193.0  68.00  58.98  97.07 
 194.1  68.00  58.98  96.96 
 195.0  68.00  59.30  96.84 
 196.0  68.00  59.63  96.57 
 197.0  68.00  59.63  96.43 
 198.0  68.00  59.63  96.27 
 199.1  68.00  59.95  96.10 
 200.0  68.00  59.95  95.91 
 201.1  68.00  60.27  95.72 
 202.1  68.00  60.27  95.51 
 203.0  68.00  60.59  95.29 
 204.0  68.00  60.59  95.06 
 205.0  68.00  60.59  94.95 
 206.0  68.00  60.91  94.70 
 207.1  68.00  60.91  94.56 
 208.0  68.00  61.24  94.29 
 209.0  68.00  61.24  94.00 
 210.1  68.00  61.24  93.83 
 211.0  68.00  61.56  93.65 
 212.0  68.00  61.56  93.46 
 213.0  68.00  61.88  93.13 
 214.1  68.00  61.88  92.92 
 215.0  68.00  61.88  92.70 
 216.1  68.00  62.20  92.47 
 217.0  68.00  62.20  92.22 
 218.0  68.00  62.20  92.10 
 219.1  68.00  62.53  91.84 
 220.1  68.00  62.53  91.57 
 221.0  68.00  62.53  91.42 
 222.1  68.00  62.85  91.12 
 223.0  68.00  62.85  90.95 
 224.0  68.00  62.85  90.77 
 225.1  68.00  63.17  90.46 
 226.1  68.00  63.17  90.26 
 227.1  68.00  63.17  90.05 
 228.0  68.00  63.17  89.97 
 229.0  68.00  63.49  89.74 
 230.0  68.00  63.49  89.51 
 231.1  68.00  63.49  89.41 
 232.1  68.00  63.49  89.29 
 233.0  68.00  63.82  89.04 
 234.0  68.00  63.82  88.91 
 235.1  68.00  63.82  88.77 
 236.0  68.00  64.14  88.49 
 237.1  68.00  64.14  88.34 
 238.0  68.00  64.14  88.18 
 239.1  68.00  64.46  87.88 
 240.0  68.00  64.46  87.70 
 241.0  68.00  64.46  87.52 
 242.0  68.00  64.46  87.33 
 243.1  68.00  64.46  87.14 
 244.0  68.00  64.78  86.93 
 245.0  68.00  64.78  86.72 
 246.1  68.00  64.78  86.51 
 247.0  68.00  64.78  86.28 
 248.0  68.00  64.78  86.18 
 249.1  68.00  65.10  85.95 
 250.0  68.00  65.10  85.70 
 251.1  68.00  65.10  85.58 
 252.1  68.00  65.10  85.46 
 253.1  68.00  65.43  85.20 
 254.1  68.00  65.43  85.06 
 255.0  68.00  65.43  84.92 
 256.0  68.00  65.43  84.78 
 257.1  68.00  65.43  84.62 
 258.1  68.00  65.75  84.34 
 259.0  68.00  65.75  84.17 
 260.1  68.00  65.75  84.00 
 261.0  68.00  65.75  83.83 
 262.0  68.00  65.75  83.65 
 263.0  68.00  65.75  83.47 
 264.0  68.00  66.07  83.28 
 265.1  68.00  66.07  83.08 
 266.0  68.00  66.07  82.88 
 267.1  68.00  66.07  82.68 
 268.0  68.00  66.07  82.60 
 269.0  68.00  66.07  82.52 
 270.1  68.00  66.07  82.43 
 271.1  68.00  66.39  82.21 
 272.1  68.00  66.39  81.98 
 273.0  68.00  66.39  81.88 
 274.1  68.00  66.39  81.78 
 275.0  68.00  66.39  81.67 
 276.1  68.00  66.39  81.56 
 277.1  68.00  66.39  81.45 
 278.0  68.00  66.72  81.20 
 279.1  68.00  66.39  81.21 
 280.0  68.00  66.72  81.08 
 281.1  68.00  66.72  80.96 
 282.0  68.00  66.72  80.82 
 283.0  68.00  66.72  80.69 
 284.0  68.00  66.72  80.55 
 285.1  68.00  66.72  80.41 
 286.0  68.00  66.72  80.40 
 287.0  68.00  66.72  80.38 
 288.1  68.00  66.72  80.36 
 289.1  68.00  66.72  80.34 
 290.0  68.00  66.72  80.32 
 291.1  68.00  66.72  80.30 
 292.1  68.00  66.72  80.28 
 293.0  68.00  67.04  80.25 
 294.1  68.00  67.04  80.09 
 295.1  68.00  67.04  80.06 
 296.0  68.00  67.04  80.03 
 297.0  68.00  67.04  79.99 
 298.1  68.00  67.04  79.96 
 299.0  68.00  67.04  79.92 
 300.0  68.00  67.04  79.88 
 301.1  68.00  67.04  79.84 
 302.1  68.00  67.04  79.79 
 303.0  68.00  67.36  79.62 
 304.1  68.00  67.36  79.44 
 305.1  68.00  67.04  79.39 
 306.1  68.00  67.04  79.33 
 307.0  68.00  67.04  79.28 
 308.0  68.00  67.36  79.22 
 309.0  68.00  67.36  79.16 
 310.1  68.00  67.36  79.10 
 311.0  68.00  67.36  79.04 
 312.1  68.00  67.36  78.97 
 313.0  68.00  67.36  78.91 
 314.0  68.00  67.36  78.84 
 315.0  68.00  67.36  78.77 
 316.1  68.00  67.36  78.70 
 317.1  68.00  67.36  78.63 
 318.1  68.00  67.36  78.68 
 319.0  68.00  67.36  78.74 
 320.0  68.00  67.36  78.67 
 321.1  68.00  67.36  78.59 
 322.0  68.00  67.36  78.51 
 323.1  68.00  67.36  78.56 
 324.1  68.00  67.36  78.61 
 325.1  68.00  67.36  78.66 
 326.0  68.00  67.36  78.72 
 327.0  68.00  67.36  78.77 
 328.1  68.00  67.36  78.82 
 329.0  68.00  67.36  78.87 
 330.0  68.00  67.36  78.92 
 331.1  68.00  67.36  78.97 
 332.0  68.00  67.36  79.02 
 333.1  68.00  67.36  79.07 
 334.0  68.00  67.36  79.13 
 335.1  68.00  67.36  79.18 
 336.0  68.00  67.36  79.23 
 337.1  68.00  67.36  79.28 
 338.1  68.00  67.36  79.33 
 339.0  68.00  67.36  79.38 
 340.1  68.00  67.36  79.43 
 341.0  68.00  67.36  79.48 
 342.1  68.00  67.36  79.53 
 343.0  68.00  67.36  79.59 
 344.0  68.00  67.36  79.64 
 345.1  68.00  67.36  79.69 
 346.0  68.00  67.36  79.74 
 347.1  68.00  67.36  79.79 
 348.1  68.00  67.36  79.84 
 349.0  68.00  67.68  79.76 
 350.1  68.00  67.36  79.81 
 351.0  68.00  67.36  79.86 
 352.0  68.00  67.36  79.91 
 353.1  68.00  67.68  79.83 
 354.0  68.00  67.68  79.75 
 355.1  68.00  67.68  79.66 
 356.0  68.00  67.68  79.57 
 357.0  68.00  67.68  79.49 
 358.1  68.00  67.68  79.40 
 359.0  68.00  67.68  79.31 
 360.1  68.00  67.68  79.21 
 361.1  68.00  67.36  79.25 
 362.0  68.00  67.68  79.15 
 363.1  68.00  67.68  79.06 
 364.0  68.00  67.68  79.09 
 365.1  68.00  67.68  78.99 
 366.0  68.00  67.68  78.89 
 367.1  68.00  67.68  78.79 
 368.0  68.00  67.68  78.82 
 369.1  68.00  67.68  78.84 
 370.1  68.00  67.68  78.87 
 371.0  68.00  67.68  78.90 
 372.0  68.00  67.68  78.92 
 373.1  68.00  67.68  78.95 
 374.0  68.00  67.68  78.98 
 375.0  68.00  67.68  79.00 
 376.0  68.00  67.68  78.90 
 377.0  68.00  67.68  78.93 
 378.1  68.00  67.68  78.95 
 379.0  68.00  67.68  78.98 
 380.1  68.00  67.68  79.00 
 381.0  68.00  67.68  79.03 
 382.0  68.00  67.68  79.05 
 383.1  68.00  67.68  79.08 
 384.1  68.00  67.68  79.10 
 385.0  68.00  67.68  79.13 
 386.1  68.00  67.68  79.15 
 387.1  68.00  67.68  79.18 
 388.1  68.00  67.68  79.21 
 389.0  68.00  67.68  79.23 
 390.0  68.00  67.68  79.26 
 391.1  68.00  67.68  79.28 
 392.1  68.00  67.68  79.31 
 393.1  68.00  67.68  79.33 
 394.1  68.00  67.68  79.36 
 395.1  68.00  67.68  79.38 
 396.0  68.00  67.68  79.41 
 397.1  68.00  67.68  79.43 
 398.0  68.00  67.68  79.46 
 399.1  68.00  67.68  79.48 
 400.1  68.00  67.68  79.51 
 401.1  68.00  67.68  79.54 
 402.1  68.00  67.68  79.56 
 403.0  68.00  68.01  79.46 
 404.1  68.00  67.68  79.48 
 405.0  68.00  67.68  79.50 
 406.1  68.00  67.68  79.53 
 407.0  68.00  67.68  79.55 
 408.1  68.00  68.01  79.44 
 409.1  68.00  67.68  79.46 
 410.1  68.00  68.01  79.36 
 411.0  68.00  67.68  79.38 
 412.0  68.00  68.01  79.27 
 413.1  68.00  68.01  79.15 
 414.1  68.00  68.01  79.04 
 415.0  68.00  67.68  79.05 
 416.0  68.00  68.01  78.94 
 417.1  68.00  68.01  78.82 
 418.1  68.00  68.01  78.83 
 419.1  68.00  68.01  78.71 
 420.0  68.00  68.01  78.59 
 421.0  68.00  68.01  78.47 
 422.0  68.00  68.01  78.35 
 423.1  68.00  68.01  78.35 
 424.0  68.00  67.68  78.36 
 425.1  68.00  68.01  78.36 
 426.1  68.00  68.01  78.24 
 427.0  68.00  68.01  78.24 
 428.0  68.00  68.01  78.24 
 429.1  68.00  68.01  78.24 
 430.0  68.00  67.68  78.25 
 431.1  68.00  68.01  78.25 
 432.0  68.00  68.01  78.25 
 433.1  68.00  68.01  78.26 
 434.0  68.00  68.01  78.26 
 435.0  68.00  68.01  78.26 
 436.1  68.00  68.01  78.27 
 437.0  68.00  68.01  78.27 
 438.0  68.00  68.01  78.27 
 439.1  68.00  68.01  78.14 
 440.0  68.00  68.01  78.15 
 441.1  68.00  68.01  78.15 
 442.0  68.00  67.68  78.28 
 443.0  68.00  68.01  78.28 
 444.1  68.00  68.01  78.28 
 445.1  68.00  68.01  78.16 
 446.1  68.00  67.68  78.29 
 447.0  68.00  68.01  78.29 
 448.1  68.00  68.01  78.29 
 449.0  68.00  68.01  78.30 
 450.1  68.00  68.01  78.30 
 451.0  68.00  68.01  78.30 
 452.0  68.00  68.01  78.31 
 453.0  68.00  68.01  78.31 
 454.0  68.00  68.01  78.31 
 455.1  68.00  68.01  78.32 
 456.0  68.00  68.01  78.32 
 457.0  68.00  68.01  78.19 
 458.0  68.00  68.01  78.19 
 459.0  70.00  67.68  79.14 
 460.1  70.00  68.01  79.96 
 461.0  70.00  68.01  80.66 
 462.0  70.00  68.01  81.51 
 463.1  70.00  68.01  82.36 
 464.0  70.00  68.01  83.23 
 465.0  70.00  68.01  84.10 
 466.1  70.00  68.01  84.99 
 467.0  70.00  68.01  85.89 
 468.1  70.00  68.01  86.80 
 469.1  70.00  68.01  87.71 
 470.0  70.00  68.01  88.64 
 471.1  70.00  68.01  89.58 
 472.0  70.00  68.01  90.53 
 473.1  70.00  68.01  91.50 
 474.0  70.00  68.01  91.53 
 475.1  70.00  68.01  91.69 
 476.0  70.00  68.01  91.85 
 477.1  70.00  68.01  92.00 
 478.0  70.00  68.01  92.16 
 479.1  70.00  68.01  92.32 
 480.1  70.00  68.01  92.48 
 481.0  70.00  68.01  92.64 
 482.1  70.00  68.01  92.80 
 483.1  70.00  68.01  92.96 
 484.0  70.00  68.33  92.99 
 485.1  70.00  68.33  93.02 
 486.1  70.00  68.33  93.04 
 487.0  70.00  68.33  93.07 
 488.0  70.00  68.33  93.09 
 489.1  70.00  68.33  93.11 
 490.1  70.00  68.65  93.00 
 491.0  70.00  68.65  92.88 
 492.1  70.00  68.65  92.76 
 493.0  70.00  68.65  92.64 
 494.1  70.00  68.65  92.52 
 495.0  70.00  68.65  92.39 
 496.1  70.00  68.65  92.25 
 497.1  70.00  68.97  91.99 
 498.0  70.00  68.65  91.85 
 499.1  70.00  68.97  91.70 
 500.0  70.00  68.97  91.55 
 501.0  70.00  68.97  91.40 
 502.1  70.00  68.97  91.25 
 503.0  70.00  68.97  91.09 
 504.1  70.00  68.97  90.93 
 505.1  70.00  68.97  90.89 
